Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,138.43,NA,3.36,13.27,6.98,NA,4.85,0.38,5.23,0.72,1.99,NA,NA,0.62,0.43,5.63,20.18,0.10,101.72,0.00,0.20,58.55,NA,-0.22
2018-01-02 00:00:00,NA,NA,NA,NA,16.31,NA,NA,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,NA,0.00
2018-01-03 00:00:00,106.57,NA,4.48,15.74,4.95,NA,6.01,0.97,15.96,1.09,2.27,NA,NA,0.67,0.43,7.77,29.14,0.26,150.66,0.00,0.00,89.82,NA,-0.15
2018-01-04 00:00:00,164.24,NA,6.88,20.36,0.00,NA,8.15,0.91,18.19,1.65,3.38,NA,NA,0.69,0.40,11.66,38.07,0.43,179.60,0.00,0.00,82.87,756.67,-0.21
2018-01-05 00:00:00,183.82,NA,7.02,18.17,0.00,NA,8.12,0.99,18.90,1.61,4.51,NA,NA,0.68,0.35,11.63,34.39,0.45,115.14,0.00,0.00,92.67,747.73,-0.16
2018-01-06 00:00:00,200.94,NA,6.81,17.08,0.00,NA,8.87,1.34,20.33,1.59,4.47,NA,NA,0.67,0.35,11.00,31.19,0.30,191.16,0.00,0.20,101.60,755.75,-0.32
2018-01-07 00:00:00,151.60,NA,7.13,16.48,0.00,NA,7.03,0.96,29.65,1.65,4.69,NA,NA,7.59,0.81,12.60,35.67,0.38,213.54,0.00,0.20,100.18,756.44,-0.22
2018-01-08 00:00:00,153.11,NA,7.44,16.32,0.00,NA,7.83,0.88,32.10,1.43,4.31,NA,NA,0.64,0.35,12.65,49.23,0.30,191.92,0.00,0.00,97.30,758.16,-0.31
2018-01-09 00:00:00,207.88,NA,6.84,15.83,0.00,NA,7.70,0.96,31.02,NA,NA,NA,NA,NA,NA,12.88,63.75,0.36,177.99,0.00,0.00,105.36,760.09,-0.27
2018-01-10 00:00:00,115.59,NA,6.94,11.21,8.54,NA,4.80,0.79,25.88,1.54,4.22,NA,NA,0.56,0.33,9.84,42.76,0.19,150.03,0.00,0.00,32.37,NA,-0.24
2018-01-11 00:00:00,126.30,NA,12.83,15.57,15.19,NA,7.14,1.25,47.46,1.67,4.35,NA,NA,0.59,0.33,14.52,49.03,0.45,226.56,0.00,0.00,104.29,757.91,-0.17
2018-01-12 00:00:00,161.40,NA,13.06,15.20,15.16,NA,8.86,1.55,28.53,1.70,4.38,NA,NA,0.60,0.33,14.71,40.35,0.30,188.75,0.00,0.00,101.86,756.70,-0.32
2018-01-13 00:00:00,165.13,NA,12.52,15.80,15.07,NA,9.51,1.04,30.03,1.72,4.40,NA,NA,0.60,0.33,14.55,41.24,0.28,181.55,0.00,0.00,104.31,756.98,-0.32
2018-01-14 00:00:00,132.96,NA,12.36,16.48,15.29,NA,8.54,1.31,30.16,1.71,4.39,NA,NA,0.60,0.33,14.25,41.88,0.27,171.67,0.00,0.00,104.89,757.09,-0.34
2018-01-15 00:00:00,105.47,NA,12.07,16.77,15.26,NA,6.13,0.92,40.36,1.70,4.38,NA,NA,0.60,0.34,14.76,42.06,0.55,230.51,0.00,0.20,106.59,757.11,-0.11
