Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
24-08-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,9.8,156,362
27-08-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11,12.1,183,444
31-08-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,11.7,145,366
9/5/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.7,10.2,173,410
9/7/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,NA,NA,168,324
9/11/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,12.8,14.3,167,385
14-09-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10,185,483
18-09-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,10.6,174,393
21-09-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.8,13,209,454
25-09-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.3,12.4,184,439
28-09-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.5,11,194,471
10/1/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,10.6,154,355
10/4/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10.3,199,428
10/8/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.2,10.1,159,352
10/11/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.8,13.5,160,373
15-10-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.2,11.4,118,239
18-10-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.4,11.8,114,266
22-10-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.8,11.2,208,430
25-10-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.8,12.2,275,512
29-10-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.7,9.2,198,447
11/2/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.7,9.6,295,521
11/6/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11,11.9,300,576
13-11-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,10.2,228,362
16-11-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.7,12.3,206,432
20-11-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.3,9.8,176,336
23-11-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,10.2,175,350
27-11-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.4,12.3,135,323
30-11-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11,13,229,470
12/4/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,10.8,195,375
12/7/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.8,12.3,297,472
12/11/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,10.3,281,430
14-12-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.3,12,164,415
18-12-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.5,10.8,214,412
22-12-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10.4,149,318
26-12-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.3,11.8,232,387
28-12-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,11.1,186,325
1/2/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,7.6,7.4,128,257
1/4/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,7.8,8.6,141,274
1/8/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,7.2,8.6,136,273
1/11/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,7.2,8.6,136,273
15-01-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9,9.1,137,284
18-01-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9.2,9.3,140,285
22-01-07,Uttar Pradesh,Agra,Regional Office,Residential and others,7,8.2,NA,256
25-01-07,Uttar Pradesh,Agra,Regional Office,Residential and others,8,9.1,NA,277
29-01-07,Uttar Pradesh,Agra,Regional Office,Residential and others,NA,NA,NA,273
2/1/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,7.3,7.4,NA,266
2/4/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8.5,10,183,311
2/5/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,6,6.7,NA,260
2/8/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,6.7,6.2,NA,230
2/12/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,NA,NA,NA,222
15-02-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9.3,9.6,116,240
19-02-07,Uttar Pradesh,Agra,Regional Office,Residential and others,7.8,8.9,122,239
22-02-07,Uttar Pradesh,Agra,Regional Office,Residential and others,8.3,8.3,136,269
26-02-07,Uttar Pradesh,Agra,Regional Office,Residential and others,6.7,8.7,131,277
3/1/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8.2,8.2,120,227
3/6/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8.2,8.7,156,298
3/8/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8.3,10.1,160,325
15-03-07,Uttar Pradesh,Agra,Regional Office,Residential and others,7.7,8.7,132,275
20-03-07,Uttar Pradesh,Agra,Regional Office,Residential and others,7.6,9.1,138,231
22-03-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9,11,168,299
26-03-07,Uttar Pradesh,Agra,Regional Office,Residential and others,10.2,10.9,188,471
29-03-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9,9.8,201,326
4/2/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8.5,10,183,311
4/5/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,9.5,11.3,176,340
4/9/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,9.3,10.1,179,322
4/12/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,9.5,11.1,209,404
16-04-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9.5,9.8,193,417
20-04-07,Uttar Pradesh,Agra,Regional Office,Residential and others,8.3,8.7,190,398
23-04-07,Uttar Pradesh,Agra,Regional Office,Residential and others,7,8.5,164,354
26-04-07,Uttar Pradesh,Agra,Regional Office,Residential and others,10,11.8,151,306
30-04-07,Uttar Pradesh,Agra,Regional Office,Residential and others,8.8,9.8,159,289
5/2/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8.5,10,184,312
5/3/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,9,11,167,305
5/5/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,9.5,11.3,176,340
5/7/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,9,10.8,139,329
5/9/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,9.3,10,178,322
5/10/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8,8.5,174,331
14-05-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9,9.2,188,315
17-05-07,Uttar Pradesh,Agra,Regional Office,Residential and others,10.2,12.2,150,306
21-05-07,Uttar Pradesh,Agra,Regional Office,Residential and others,7.4,7.8,161,321
24-05-07,Uttar Pradesh,Agra,Regional Office,Residential and others,8.6,10.4,172,342
28-05-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9,9.5,150,309
6/4/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,7.8,9,161,293
6/7/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,10,13.2,272,427
6/11/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,10.3,11.5,153,332
14-06-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9.2,11,187,359
18-06-07,Uttar Pradesh,Agra,Regional Office,Residential and others,6.5,8,92,227
21-06-07,Uttar Pradesh,Agra,Regional Office,Residential and others,7.8,9.9,157,326
25-06-07,Uttar Pradesh,Agra,Regional Office,Residential and others,7.8,8.5,111,186
28-06-07,Uttar Pradesh,Agra,Regional Office,Residential and others,7.7,8,70,93
7/2/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8.3,9.8,135,221
7/5/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8,8.3,86,141
7/9/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8.2,8.9,84,136
7/12/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,7.2,8.3,97,168
16-07-07,Uttar Pradesh,Agra,Regional Office,Residential and others,8.2,8.9,98,208
19-07-07,Uttar Pradesh,Agra,Regional Office,Residential and others,8.7,9.8,111,223
23-07-07,Uttar Pradesh,Agra,Regional Office,Residential and others,7.5,7.8,96,183
26-07-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9,9.8,102,152
30-07-07,Uttar Pradesh,Agra,Regional Office,Residential and others,7,8.2,99,207
8/2/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,6,6.3,114,237
8/6/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8.3,9.3,146,322
8/9/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,7.2,7.6,116,273
14-08-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9.8,11.2,128,273
16-08-07,Uttar Pradesh,Agra,Regional Office,Residential and others,NA,NA,NA,NA
20-08-07,Uttar Pradesh,Agra,Regional Office,Residential and others,6,5.9,147,338
23-08-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9.7,10.8,124,291
27-08-07,Uttar Pradesh,Agra,Regional Office,Residential and others,10,11.5,181,408
30-08-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9.2,9.9,133,325
9/3/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8.6,10.1,151,332
9/6/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8.7,10.4,132,311
9/10/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8,10,117,312
13-09-07,Uttar Pradesh,Agra,Regional Office,Residential and others,8.2,8.9,154,368
