Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
4/10/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,23,36.2,240,595
13-04-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,22.8,40.1,233,565
17-04-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,24.3,40.8,258,614
20-04-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,25.5,40.8,294,692
24-04-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,22.3,37.8,256,660
27-04-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,21,37,258,613
5/1/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,25.3,40.8,191,568
5/4/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,26.4,46.6,180,434
5/8/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,25.1,39.1,200,597
5/11/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,22.8,41.8,221,645
15-05-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,22.6,44.4,262,602
16-05-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,16,28.1,216,523
22-05-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,24.3,39.3,205,570
25-05-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,19,24.7,165,608
28-05-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,22,38.8,233,639
29-05-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,19.7,26,205,592
6/1/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,20.8,35.7,225,484
6/5/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,19.2,27.5,205,626
6/8/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,19.8,32.3,197,702
6/12/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,27.5,29.7,159,738
15-06-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,25.3,83.3,163,698
19-06-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,16.8,23.7,152,466
22-06-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,25.2,36.2,176,573
26-06-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,22,28.2,81,274
29-06-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,25.2,34.5,109,264
7/3/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,17.7,30.7,140,412
7/6/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,19.5,29.5,94,307
17-07-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,13.7,25,74,138
20-07-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,12.5,19.5,124,196
24-07-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,10.5,19.8,59,131
27-07-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,12.5,19.5,85,143
31-07-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,10,18.8,96,176
8/3/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,12.2,24,89,178
8/7/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,13.2,25.8,77,208
8/10/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,14.2,28,111,226
14-08-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,19,25.7,101,233
9/4/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,15.8,21.8,57,120
9/8/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,17,25.8,55,113
9/11/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,17.5,32.8,79,143
14-09-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,18.7,29.8,100,199
18-09-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,19.8,32.2,131,242
21-09-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,19.2,28.2,122,260
25-09-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,17.7,26.7,78,204
28-09-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,21.8,37,89,212
10/9/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,22,36.3,204,428
10/12/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,26.3,43,238,384
16-10-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,19.7,32.2,174,344
19-10-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,24.7,36.2,314,542
23-10-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,29,42.2,260,528
26-10-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,26.8,43.3,339,551
30-10-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,25.7,34.7,258,521
11/2/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,25.3,35.8,448,679
11/6/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,32.3,46.7,342,696
11/9/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,29.2,37.3,363,693
13-11-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,27.2,40.3,271,639
16-11-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,26,43.7,324,658
20-11-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,33.3,51.8,366,681
23-11-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,26.2,39.2,340,660
27-11-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,31.7,46.5,346,685
30-11-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,29.7,42,430,778
12/4/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,29.5,41,309,629
12/7/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,28.5,39.7,310,649
12/11/2007,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,31.8,46.8,346,616
14-12-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,33.5,41.3,249,602
25-12-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,34.2,43.5,337,667
28-12-07,Uttar Pradesh,Firozabad,CDGI,Industrial Areas,32.2,47.3,291,621
1/1/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,24.8,44.2,NA,417
1/4/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,23.8,41.3,NA,484
1/8/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,24.7,45.2,NA,507
1/11/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,26.8,48.2,NA,438
15-01-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,24.5,42.8,NA,430
18-01-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,23.8,42.5,NA,356
22-01-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,23.7,41.3,NA,444
29-01-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,23.5,42.2,NA,367
2/1/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,23.7,39.7,NA,449
2/5/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,21,33.5,NA,391
2/8/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,19.5,27,NA,299
2/12/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,16.3,18.2,NA,238
15-02-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,12,14.8,NA,250
19-02-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,13.2,17.5,144,272
22-02-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,19.2,26.7,125,245
26-02-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,16.8,23.2,207,393
3/2/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,16.8,25.5,88,178
3/5/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,20,28.1,197,352
3/8/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,20.3,28.7,236,400
3/12/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,NA,NA,NA,NA
15-03-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,17.8,28.1,133,255
19-03-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,19.6,24.8,163,274
22-03-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,18.6,31.1,185,379
26-03-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,18.5,25.3,189,431
29-03-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,18.6,32.8,220,481
4/2/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,18.1,32.6,174,494
4/5/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,17.1,30.6,188,463
4/9/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,16.8,29,211,519
4/12/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,22.3,30.6,187,521
17-04-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,20.8,33.8,186,502
19-04-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,18.1,31.1,199,501
23-04-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,20.8,34,204,496
28-04-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,23,33.8,239,557
30-04-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,23.6,35.3,188,594
5/3/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,19,36.5,137,398
5/7/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,20.3,35.5,193,511
5/10/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,16.5,31.5,158,406
14-05-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,16.3,36,198,487
17-05-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,18.5,30.3,115,365
21-05-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,21.3,33.3,143,379
24-05-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,19.7,29.2,160,356
28-05-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,17.7,29.7,171,377
31-05-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,16.2,25,222,478
6/4/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,22.5,23.7,200,607
6/7/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,15,21.3,144,413
6/11/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,17.8,24,154,519
14-06-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,22,23.2,147,498
18-06-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,18.2,26.3,129,469
21-06-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,19.7,27,155,536
25-06-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,19.7,25.7,109,322
28-06-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,22,32,92,299
7/2/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,16.8,26.7,103,245
7/7/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,15.2,24.8,92,276
16-07-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,12.2,20.5,57,139
19-07-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,10.5,13.3,48,105
23-07-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,7.7,15.5,50,105
26-07-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,10.5,14.7,42,113
30-07-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,9,13.7,65,143
8/2/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,NA,NA,NA,NA
8/6/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,10,17.8,51,116
8/9/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,14.7,21.7,54,120
13-08-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,12.5,20,73,163
9/3/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,14.3,21.5,80,134
9/6/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,11.3,16.8,76,122
9/10/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,11.8,16.7,86,134
13-09-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,12.5,21.8,78,187
17-09-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,13.8,22.5,96,178
20-09-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,17.8,25.5,113,215
24-09-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,13.5,24.7,77,180
27-09-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,13,24,80,168
10/8/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,21,36.7,143,327
10/11/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,24,41.8,207,348
15-10-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,19.3,31.2,195,368
18-10-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,22.5,32.3,194,415
22-10-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,22.2,34.8,256,484
25-10-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,20.7,32.2,244,503
29-10-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,25.2,40.7,243,516
11/2/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,23.3,34,226,495
11/5/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,26.2,38.7,241,511
11/8/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,23.8,34.3,247,517
11/12/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,25.3,41.7,315,640
15-11-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,22.7,34.5,316,623
19-11-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,NA,NA,NA,NA
22-11-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,26.5,35.7,273,555
26-11-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,27,33.5,309,632
29-11-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,30.5,42.8,305,679
12/3/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,30,33.8,276,580
12/6/2007,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,25.2,34,300,585
13-12-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,25,34,326,571
16-12-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,31.3,34.3,238,581
24-12-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,30.2,37.3,299,633
27-12-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,27.3,41.7,309,611
31-12-07,Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and others,27.3,37.7,307,619
1/3/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,20.5,36.2,NA,395
1/6/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,22.8,35.3,NA,416
1/7/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,16.8,27.3,NA,249
1/10/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,23.3,40.5,NA,453
13-01-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,22.8,36.8,NA,424
17-01-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,20,31.3,NA,388
20-01-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,17.2,32.5,NA,448
24-01-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,19.8,36.5,NA,545
27-01-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,23.5,38.3,NA,540
31-01-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,18.7,34.8,NA,310
2/3/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,20.2,30,NA,432
2/7/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,16.8,27.3,NA,249
2/10/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,NA,NA,NA,NA
14-02-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,10.8,14.2,NA,166
17-02-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,9,14.7,218,319
21-02-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,14,16,160,263
24-02-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,15.5,20.7,180,392
28-02-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,15.3,18.7,142,204
3/3/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,16,20,158,320
3/7/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,16.1,21.3,209,320
3/10/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,16.3,24.3,140,312
14-03-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,12.3,18.3,87,147
17-03-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,16.3,25.5,137,240
21-03-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,13.5,17.3,73,176
24-03-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,16.1,26.5,120,317
28-03-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,16.3,24.8,162,325
31-03-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,14.6,28.1,223,405
4/4/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,16.3,26.1,196,521
4/7/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,18.6,25.8,157,378
4/11/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,16.5,26.3,207,455
14-04-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,16.3,25.5,207,507
18-04-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,18.6,31.3,257,530
21-04-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,15.5,25.3,258,563
25-04-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,17.3,28.8,259,570
28-04-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,18.6,27,265,559
5/2/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,15,26.5,200,507
5/5/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,18,30.1,218,434
5/9/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,17.6,30.8,205,529
5/12/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,17.6,30.1,199,493
19-05-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,16.5,29.3,246,539
23-05-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,17.3,29.8,256,582
26-05-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,14.5,21,186,583
30-05-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,19.3,23,161,391
6/2/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,18.5,24.5,194,566
6/6/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,20.7,33.2,187,556
6/9/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,16.7,23.3,160,503
13-06-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,25.3,24.7,115,572
16-06-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,22.5,22.2,127,586
20-06-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,18.5,24.8,108,360
23-06-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,17.5,30.7,106,486
27-06-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,15.2,21.3,82,223
30-06-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,21,29.5,106,313
7/1/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,17.3,24,89,281
7/4/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,12,23.5,66,222
18-07-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,12.3,22.2,91,182
22-07-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,11,16.7,96,151
25-07-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,7.8,15.8,65,133
28-07-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,9.8,16.2,68,124
8/1/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,9.3,20.7,111,225
8/4/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,10.3,23.2,72,148
8/8/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,15,19.7,71,156
8/11/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,14.8,22.3,91,222
15-08-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,14.7,22.5,110,266
9/1/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,14.3,23,57,120
9/5/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,12.3,20.3,24,71
9/9/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,12.7,16.5,73,165
9/12/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,15.2,29.3,161,335
15-09-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,13.2,25,111,288
19-09-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,15.5,30.2,149,268
22-09-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,14.7,27.2,129,248
26-09-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,15.7,25.3,80,180
29-09-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,13.8,30.3,68,154
10/10/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,17.8,29.8,202,388
13-10-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,17.3,31,219,364
17-10-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,20.7,31.5,189,385
20-10-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,21.3,32.2,237,386
24-10-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,26,33.3,277,497
27-10-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,24.3,33,237,430
31-10-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,26.2,36.5,250,457
11/3/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,NA,NA,NA,NA
11/7/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,25.8,35.7,265,541
11/10/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,23.3,33,233,443
14-11-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,24.2,34,241,510
17-11-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,25.8,37.7,286,544
21-11-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,27.3,37,264,593
24-11-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,25.7,34,299,567
28-11-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,29.7,38.2,275,559
12/1/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,32.2,41,295,589
12/5/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,28.2,36.7,285,540
12/8/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,29.7,40.8,266,536
12/12/2007,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,27.3,37,319,597
15-12-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,30,39.3,281,565
26-12-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,26.8,35.8,246,520
29-12-07,Uttar Pradesh,Firozabad,Tilak Nagar,Residential and others,25.5,38.8,301,591
1/2/2007,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,30.5,18.8,53,440
1/6/2007,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,30.5,20.3,94,452
1/10/2007,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,33.3,19.8,83,500
15-01-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,35.5,15.8,72,314
18-01-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,30.3,21.5,80,301
22-01-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,30.3,16,87,436
25-01-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,30.3,16.8,87,477
2/3/2007,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,31,21.5,62,299
2/6/2007,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,23.5,17.5,53,313
20-02-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,20.3,18.8,57,247
23-02-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,27,NA,68,344
27-02-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,29,15.3,41,310
3/2/2007,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,23.8,17.3,55,213
3/6/2007,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,22,15.3,66,296
16-03-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,23.8,16.8,44,238
24-03-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,19.5,17.5,43,190
28-03-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,25.5,19,59,306
4/2/2007,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,21.5,18.3,59,265
4/5/2007,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,20.3,16.5,66,268
4/9/2007,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,19.5,14.3,54,294
4/12/2007,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,20.8,16.8,65,269
16-04-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,26.8,16.3,56,217
20-04-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,21,13,121,NA
23-04-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,24.5,18.8,60,219
26-04-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,23.3,16,56,203
30-04-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,28,17.3,62,175
5/3/2007,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,26.3,20,46,253
5/10/2007,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,23.3,21,46,249
17-05-07,Uttar Pradesh,Gajraula,Raunaq Auto Ltd,Industrial Areas,23.8,19.3,44,222
