Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),Ozone (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2021 00:00,384.43,523.92,7.57,33.17,23.21,6.36,82.76,4.27,NA,NA,0.3,156.65,0,0,152.42,NA,NA
02-01-2021 00:00,277.88,375.49,6.98,31.5,21.95,6.52,83.38,3.69,NA,NA,0.3,155.88,0,0,153.88,NA,NA
03-01-2021 00:00,195.96,253.54,7.57,33.27,22.47,13.67,84.7,3.89,NA,NA,0.3,157.98,0,0,151.67,NA,NA
04-01-2021 00:00,98.48,142.39,7.65,29.21,20.75,6.22,7.46,3.54,NA,NA,0.3,152.02,0,0,149.24,NA,NA
05-01-2021 00:00,64.12,100.34,6.98,30.31,21.18,6.13,8.68,2.5,NA,NA,0.3,148.96,0,0,152.84,NA,NA
06-01-2021 00:00,118.92,185.55,6.93,30.18,21.08,5.89,7.08,2.69,NA,NA,0.3,147.74,0,0,154.59,NA,NA
07-01-2021 00:00,108.49,189.72,6.89,30.53,21.28,5.9,4.28,4.42,NA,NA,0.3,147.44,0,0,156.68,NA,NA
08-01-2021 00:00,157.85,275.28,7.08,30.68,21.74,5.71,5.22,7.56,NA,NA,0.3,147.18,0,0,155.97,NA,NA
09-01-2021 00:00,146.72,238.95,7.36,30.36,21.51,5.64,8.72,6.41,NA,NA,0.3,147.18,0,0,156.22,NA,NA
10-01-2021 00:00,114,179.31,6.77,29.28,20.74,5.74,2.88,7,NA,NA,0.3,146.92,0,0,157.21,NA,NA
11-01-2021 00:00,114.75,181.7,7.11,29.8,21.11,5.76,4.08,6.88,NA,NA,0.3,147.59,0,0,157.24,NA,NA
12-01-2021 00:00,160.64,240.36,7.23,30.41,21.71,5.62,4.61,7.61,NA,NA,0.3,147.26,0,0,157.35,NA,NA
13-01-2021 00:00,208.43,334.97,7.55,30.88,22.21,5.43,6.19,13.74,NA,NA,0.3,147.42,0,0,156.82,NA,NA
14-01-2021 00:00,311.3,445.45,8.07,30.72,22.51,5.44,7.2,7.44,NA,NA,0.3,147.43,0,0,156.74,NA,NA
15-01-2021 00:00,385.66,552.93,9.79,34.22,24.27,8.75,4.78,5.92,NA,NA,0.3,162.74,0,0,145.69,NA,NA
16-01-2021 00:00,272,401.67,10.31,43.14,29.07,10.76,5.14,5.56,NA,NA,0.3,189.07,0,0,121.87,NA,NA
17-01-2021 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
18-01-2021 00:00,228.79,389.03,14.37,30.61,23.6,2.84,14.97,5.78,NA,NA,0.3,141.95,0,0,161.08,NA,NA
19-01-2021 00:00,271.33,428.34,36,35.01,49.29,7.12,9.77,6.09,NA,NA,0.3,143.51,0,0,159.19,NA,NA
20-01-2021 00:00,122.43,214.92,6.61,24.32,18.3,3.85,6.85,5.56,NA,NA,0.3,146.72,0,0,157.69,NA,NA
21-01-2021 00:00,144.19,255.39,6.65,24.35,18.35,3.83,6.49,7.39,NA,NA,0.3,147.18,0,0,157.91,NA,NA
22-01-2021 00:00,216,344.2,6.6,24.27,18.28,3.82,4.98,4.02,NA,NA,0.3,147.47,0,0,157.08,NA,NA
23-01-2021 00:00,148.06,239.27,6.53,24.46,18.32,3.82,3.66,7.22,NA,NA,0.3,146.86,0,0,157.68,NA,NA
24-01-2021 00:00,182.77,322.46,6.67,24.41,18.4,3.86,5.01,3.81,NA,NA,0.3,146.96,0,0,157.23,NA,NA
25-01-2021 00:00,164.54,299.53,6.71,24.35,18.39,3.75,4.49,5.78,NA,NA,0.3,148.53,0,0,156.08,NA,NA
26-01-2021 00:00,160.19,276.28,11.48,23.18,20.42,9.06,5.88,7.6,NA,NA,0.3,147.99,0,0,156.34,NA,NA
27-01-2021 00:00,167.19,313.48,14.2,28.53,19.53,14.92,7.01,7.25,NA,NA,0.3,147.52,0,0,157.57,NA,NA
28-01-2021 00:00,232.49,342.15,15.2,28.86,24.43,18.14,4.89,4.59,NA,NA,0.3,148.2,0,0,156.49,NA,NA
29-01-2021 00:00,144.34,326.95,32.4,26.05,35.37,21.14,5.57,8.35,NA,NA,0.3,146.22,0,0,158.08,NA,NA
30-01-2021 00:00,143.21,266.59,19.42,29.2,28.06,19.66,6.52,7.91,NA,NA,0.3,147.46,0,0,157.83,NA,NA
31-01-2021 00:00,169.82,303.28,31.89,28.84,36.62,22.39,8.2,7.72,NA,NA,0.3,146.81,0,0,158.08,NA,NA
01-02-2021 00:00,211.08,363.13,19.98,26.82,26.24,23.81,11.03,8.35,NA,NA,0.3,146.67,0,0,158.21,NA,NA
02-02-2021 00:00,211.53,386.78,10.05,26.34,21.33,24.43,13.39,20.78,NA,NA,0.3,145.44,0,0,158.46,NA,NA
03-02-2021 00:00,162.61,278.04,10.16,23.04,19.97,25.23,11.13,12.76,NA,NA,0.3,145.22,0,0,158.74,NA,NA
04-02-2021 00:00,115.9,199.61,10.61,23.06,20.58,22.74,10.67,17.24,NA,NA,0.3,144.85,0,0,158.8,NA,NA
05-02-2021 00:00,44.28,104,9.16,25.76,20.14,20.88,10.53,13.32,NA,NA,0.3,146,0,0,158.48,NA,NA
06-02-2021 00:00,81.2,163.54,8.76,26.44,20.91,20.68,10.49,15.59,NA,NA,0.3,145.9,0,0,158.61,NA,NA
07-02-2021 00:00,118.05,218.42,9.23,24.65,20.51,20.32,11.08,6.48,NA,NA,0.3,145.75,0,0,158.64,NA,NA
08-02-2021 00:00,160.58,340.32,10.94,26,23.12,20.05,5.3,14.69,NA,NA,0.3,146.06,0,0,158.38,NA,NA
09-02-2021 00:00,170.61,344.79,13.02,27.52,24.62,19.89,14.11,13.21,NA,NA,0.3,145.46,0,0,158.1,NA,NA
10-02-2021 00:00,143.26,286.21,10.33,25.7,21.79,21.85,19.08,13.07,NA,NA,0.3,144.43,0,0,159.27,NA,NA
11-02-2021 00:00,168.52,318.69,11.02,26.24,22.57,22.62,17.77,14.89,NA,NA,0.3,146.26,0,0,158.53,NA,NA
12-02-2021 00:00,227.67,422.93,12.97,19.41,20.82,17.67,18.11,10.33,NA,NA,0.3,145.33,0,0,158.68,NA,NA
13-02-2021 00:00,160.79,355.5,13.83,21.36,22,16.64,13.24,9.53,NA,NA,0.3,147.12,0,0,156.18,NA,NA
14-02-2021 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
15-02-2021 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
16-02-2021 00:00,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
17-02-2021 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
18-02-2021 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
19-02-2021 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
20-02-2021 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
21-02-2021 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
22-02-2021 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
23-02-2021 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
24-02-2021 00:00,NA,278.97,5.02,18.23,11.72,1.12,26.87,12.1,NA,NA,NA,NA,NA,0,NA,NA,NA
25-02-2021 00:00,NA,417.35,7.88,25.7,19.18,1.26,21.85,11.53,NA,NA,NA,NA,NA,0,NA,NA,NA
26-02-2021 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
27-02-2021 00:00,NA,242.78,2.21,18.3,11.48,1.2,24.32,11.99,NA,NA,NA,NA,NA,0,NA,NA,NA
28-02-2021 00:00,NA,204.09,1.47,21.17,12.17,1.5,23.5,12.07,NA,NA,NA,NA,NA,0,NA,NA,NA
01-03-2021 00:00,NA,173.76,1,21.14,11.79,1.55,17.43,11.91,NA,NA,NA,NA,NA,0,NA,NA,NA
02-03-2021 00:00,NA,180.98,0.9,20.4,11.35,1.58,16.08,13.14,NA,NA,NA,NA,NA,0,NA,NA,NA
03-03-2021 00:00,NA,213.49,1.98,21.58,12.68,1.51,21.5,13.27,NA,NA,NA,NA,NA,0,NA,NA,NA
04-03-2021 00:00,NA,414.57,4.86,25.53,16.65,1.23,37.52,11.29,NA,NA,NA,NA,NA,0,NA,NA,NA
05-03-2021 00:00,NA,187.21,1.09,18.04,10.5,1.32,26.9,12.2,NA,NA,NA,NA,NA,0,NA,NA,NA
06-03-2021 00:00,NA,258.12,1.16,25.27,14.35,3.28,26.59,12.26,NA,NA,NA,NA,NA,0,NA,NA,NA
07-03-2021 00:00,NA,299.84,1.01,26.38,14.26,4.89,36.11,12.19,NA,NA,NA,NA,NA,0,NA,NA,NA
08-03-2021 00:00,NA,263.35,0.85,22.78,12.46,4.05,19.26,23.02,NA,NA,NA,NA,NA,0,NA,NA,NA
09-03-2021 00:00,NA,277.45,1.56,22.26,12.34,3.92,21.55,16.13,NA,NA,NA,NA,NA,0,NA,NA,NA
10-03-2021 00:00,NA,178.02,1.59,24.48,13.52,4.32,23.72,17.54,NA,NA,NA,NA,NA,0,NA,NA,NA
11-03-2021 00:00,NA,281.41,0.92,23.45,12.67,5.61,31.38,27.82,NA,NA,NA,NA,NA,0,NA,NA,NA
12-03-2021 00:00,NA,185.43,0.86,23.4,12.73,5.43,23.75,29.37,NA,NA,NA,NA,NA,0,NA,NA,NA
13-03-2021 00:00,NA,191.48,1.07,26.4,14.4,5.32,27.22,22.88,NA,NA,NA,NA,NA,0,NA,NA,NA
14-03-2021 00:00,NA,172.31,1.39,27.22,14.71,1.83,21.62,37.45,NA,NA,NA,NA,NA,0,NA,NA,NA
15-03-2021 00:00,NA,245.2,1.62,30.15,16.34,2.21,24.21,24.83,NA,NA,NA,NA,NA,0,NA,NA,NA
16-03-2021 00:00,NA,274.35,1.55,34.26,17.25,2.32,14.79,17.57,NA,NA,NA,NA,NA,0,NA,NA,NA
17-03-2021 00:00,45.78,369.95,30,38.38,22.6,4.04,18.58,16.98,21.39,43,0.3,187.5,0,0,121.5,NA,NA
18-03-2021 00:00,79.7,362.75,8.9,18.97,9.64,7.67,24.02,14.72,35.2,41.19,0.3,142.19,0,0,152.93,NA,NA
19-03-2021 00:00,92.17,330.72,19.04,5.69,16.49,6.54,23.25,14.57,34.76,39.16,0.3,103.37,0,0,172.92,NA,NA
20-03-2021 00:00,76,311.06,10.02,7.92,7.78,6.21,15.12,10.9,34.71,37.86,0.3,89.52,0,0,175.48,NA,NA
21-03-2021 00:00,85.2,333.93,9.99,24.16,7.25,7.33,12.31,10.35,34.76,37.82,0.3,88.18,0,0,176.44,NA,NA
22-03-2021 00:00,81.2,293.35,9.4,56.8,6.76,8.38,19.24,9.52,34.72,37.85,0.3,89.52,0,0,175.71,NA,NA
23-03-2021 00:00,NA,347.32,6.48,85,3.53,8.39,11.05,12.62,34.86,38.01,0.3,85.5,0,0,177.81,NA,NA
24-03-2021 00:00,53.66,202.63,13.73,5.43,10.64,15.42,14.25,12.37,34.03,39.36,0.3,115.13,0,0,166.77,NA,NA
25-03-2021 00:00,20.31,152.74,9.86,9.77,11.47,7.26,13.61,12.61,34.73,38.62,0.3,93.76,0,0,176.24,NA,NA
26-03-2021 00:00,48.91,183.59,2.98,14.31,9.23,7.86,17.76,8.05,NA,NA,NA,NA,NA,0,NA,NA,NA
27-03-2021 00:00,87.2,280.59,3.17,14.33,10.1,7.47,17.28,6.84,NA,NA,NA,NA,NA,0,NA,NA,NA
28-03-2021 00:00,104.98,286.73,3.29,13.68,9.81,9.86,22.91,23.56,NA,NA,NA,NA,NA,0,NA,NA,NA
29-03-2021 00:00,124.03,269.59,4.58,11.17,8.97,11.15,21.29,10.45,NA,NA,NA,NA,NA,0,NA,NA,NA
30-03-2021 00:00,90.29,368.71,11.71,14.92,13.67,12.53,13.92,12.25,NA,NA,NA,NA,NA,0,NA,NA,NA
31-03-2021 00:00,48.6,243.98,6.38,21.63,14.53,4.41,13.87,29.93,NA,NA,NA,NA,NA,0,NA,NA,NA
01-04-2021 00:00,56.71,234.65,26.67,16.36,19.37,6.75,20.53,9.95,29.19,42.61,0.3,187.83,0,0,120.28,NA,NA
02-04-2021 00:00,77.33,234,30.28,15.69,22.37,5.99,23.61,24.51,30,42.25,0.3,185.47,0,0,125.02,NA,NA
03-04-2021 00:00,74.26,371,22.2,17.68,20.11,3.48,35.79,NA,29.06,42.61,0.3,187.83,0,0,119.35,NA,NA
04-04-2021 00:00,79.42,228.44,13.03,14.64,6.51,3.07,41.5,NA,29.47,42.15,0.3,186.69,0,0,120.85,NA,NA
05-04-2021 00:00,95.93,304.3,50.08,13.76,41.93,8.78,32.05,34.25,31.76,42.43,0.3,168.54,0,0,142.66,NA,NA
06-04-2021 00:00,99,322.28,11.93,5.39,12.33,0.75,28.24,18.97,33,42,0.3,157,0,0,153,NA,NA
07-04-2021 00:00,64.33,254.78,12.64,4.12,12.32,1.65,13.57,30.84,33.01,42,0.3,155.29,0,0,153.53,NA,NA
08-04-2021 00:00,42,165.29,12,4.77,12.23,1.29,17.98,10.8,33.09,42,0.3,153.17,0,0,154.47,NA,NA
09-04-2021 00:00,50.59,186.97,17,11.96,20.01,3.91,20.84,17,33.14,41.76,0.3,150.88,0,0,154.85,NA,NA
10-04-2021 00:00,46.63,195.32,10.05,13.22,15,5.96,14.51,96.4,33.04,41.5,0.3,150.83,0,0,153.82,NA,NA
11-04-2021 00:00,59.24,217.39,10.94,12.07,15.31,6.37,19.61,28.34,31.73,42.27,0.3,171.36,0,0,140.49,NA,NA
12-04-2021 00:00,101.56,303.39,12.32,12.17,16.16,8.12,34.61,5.79,30.48,42.67,0.3,183.85,0,0,129.98,NA,NA
13-04-2021 00:00,83,254.27,11.71,11.57,14.55,0.4,41.4,9.97,29.73,42.94,0.3,186.77,0,0,125.11,NA,NA
14-04-2021 00:00,58.38,266.97,15.96,11.18,14.52,12.09,27.53,4.15,30.93,41.99,0.3,164.55,0,0,138.03,NA,NA
15-04-2021 00:00,65.46,290.09,12.39,9,14.18,0.68,3.21,19,34.41,39.59,0.3,109,0,0,171.24,NA,NA
16-04-2021 00:00,82.75,297.16,14.59,7.35,15.4,0.86,3.51,109.61,34.27,39.76,0.3,113.23,0,0,169.35,NA,NA
17-04-2021 00:00,42.14,77.31,12.63,4.16,11.93,0.88,1.44,97.93,34.45,39.72,0.3,107.35,0,0,171.91,NA,NA
18-04-2021 00:00,61.67,238.25,12.74,4.66,12.39,0.75,1.66,2.64,34.47,39.28,0.3,106,0,0,172.15,NA,NA
19-04-2021 00:00,70.92,239.32,14.28,8.48,15.74,1.02,4.78,3.82,33.84,40.27,0.3,126.85,0,0,163.76,NA,NA
20-04-2021 00:00,59.27,229.92,11.86,7.45,13.61,0.47,7.65,3.09,33.61,41,0.3,136.88,0,0,160.11,NA,NA
21-04-2021 00:00,50.66,132.32,12.17,5.74,12.97,1.04,4.26,2.99,33.61,41.01,0.3,136.85,0,0,160.01,NA,NA
22-04-2021 00:00,57.86,138.84,12.08,4.15,12,1.36,3.61,3.15,33.66,40.98,0.3,135.52,0,0,160.8,NA,NA
23-04-2021 00:00,50.28,158.38,11.96,3.88,11.79,1.01,4.78,3.03,33.61,41.01,0.3,136.92,0,0,160.25,NA,NA
24-04-2021 00:00,40.65,116.03,11.72,5.23,12.31,0.88,4.2,3.16,33.61,41,0.3,136.71,0,0,160.27,NA,NA
25-04-2021 00:00,86.77,218.62,11.94,7.53,13.72,1.16,5.69,3.15,33.63,40.95,0.3,136.01,0,0,160.57,NA,NA
26-04-2021 00:00,164.37,366.19,12.02,8.78,14.45,0.68,7.66,50.54,33.66,40.93,0.3,135.23,0,0,160.91,NA,NA
27-04-2021 00:00,152.78,371.07,11.82,10.7,15.3,0.72,6.01,5.37,33.7,40.81,0.3,134.33,0,0,161.28,NA,NA
28-04-2021 00:00,191.07,443.58,11.93,9.6,14.8,1.14,7.66,7.46,33.72,40.68,0.3,133.67,0,0,161.57,NA,NA
29-04-2021 00:00,158.32,428.68,11.93,8.78,14.22,2.4,7.31,6.58,33.73,40.76,0.3,133.69,0,0,161.81,NA,NA
30-04-2021 00:00,96.55,409.2,12.04,9.42,14.6,2.57,5.4,11.28,33.72,40.74,0.3,133.61,0,0,161.78,NA,NA
01-05-2021 00:00,83.62,344.83,11.66,5.97,12.67,2.65,4.73,3.49,33.63,40.67,0.3,136.07,0,0,160.31,NA,NA
02-05-2021 00:00,49.69,227.74,9.87,7.33,10.6,3.66,5.67,NA,33.69,40.87,0.3,135.21,0,0,161.2,NA,NA
03-05-2021 00:00,80.1,301.69,11.97,7.39,13.64,3.06,6.03,NA,33.68,40.89,0.3,135.04,0,0,161.27,NA,NA
04-05-2021 00:00,56.59,217.59,11.95,7.46,13.68,3,6,NA,33.68,41,0.3,135.51,0,0,161.04,NA,NA
05-05-2021 00:00,63.02,211.67,12.11,4.53,12.26,4.52,4.35,NA,33.61,40.91,0.3,137.27,0,0,160.42,NA,NA
06-05-2021 00:00,55.29,194.13,11.82,7.68,13.7,10.62,0.85,NA,33.69,40.59,0.3,134.12,0,0,161.48,NA,NA
07-05-2021 00:00,64.53,155.56,11.82,11.8,15.89,8.38,1.76,NA,33.67,40.31,0.3,134.17,0,0,160.95,NA,NA
08-05-2021 00:00,58.97,151.99,11.72,13.49,16.7,5.69,0.98,NA,33.71,40.45,0.3,133.92,0,0,161.25,NA,NA
09-05-2021 00:00,58.41,157.29,11.97,10.47,15.3,5.48,NA,NA,33.64,40.39,0.3,134.35,0,0,160.42,NA,NA
10-05-2021 00:00,61.62,160.84,11.94,14.22,17.27,4.67,0.3,NA,33.66,40.27,0.3,134.4,0,0,160.77,NA,NA
11-05-2021 00:00,64.28,186.13,12.2,11.02,15.67,4.83,NA,NA,33.7,40.28,0.3,133.9,0,0,161.16,NA,NA
12-05-2021 00:00,35.24,159.72,11.71,11.63,15.7,3.87,NA,NA,33.71,40.44,0.3,133.52,0,0,161.38,NA,NA
13-05-2021 00:00,41.75,99,11.82,8.52,14.15,3.05,NA,NA,33.72,40.27,0.3,133,0,0,161.58,NA,NA
14-05-2021 00:00,51.55,143.46,12.08,9.14,14.55,3.31,NA,NA,33.69,40.38,0.3,133.98,0,0,161.17,NA,NA
15-05-2021 00:00,51.37,202.42,11.85,14.82,17.37,1.8,NA,NA,33.68,40.51,0.3,134.64,0,0,161.03,NA,NA
16-05-2021 00:00,57.72,155.47,11.99,16.28,18.4,5.74,1.14,NA,33.67,40.88,0.3,134.8,0,0,161.03,NA,NA
17-05-2021 00:00,75.26,256.04,11.95,22.45,21.66,1.22,0.85,NA,33.71,40.98,0.3,134.56,0,0,161.33,NA,NA
18-05-2021 00:00,35.43,119.28,11.83,8.35,14.06,1.1,NA,NA,33.7,40.95,0.3,134.41,0,0,161.17,NA,NA
19-05-2021 00:00,59.38,126.15,12,9.62,14.88,0.36,NA,NA,33.62,40.38,0.3,133.77,0,0,160.62,NA,NA
20-05-2021 00:00,60.36,132.55,12.6,12.01,16.14,1.06,2.18,6.03,33.58,40.22,0.3,134.35,0,0,160.19,NA,NA
21-05-2021 00:00,29.33,73.01,12.12,10.64,15.5,0.7,2.63,4.39,33.33,39.72,0.3,137.27,0,0,156.53,NA,NA
22-05-2021 00:00,27.51,74.95,11.92,11.83,15.99,1.36,5.99,4.82,33.6,40.11,0.3,134.36,0,0,160.08,NA,NA
23-05-2021 00:00,112.59,446.29,12.02,12.9,16.62,14.5,7.1,4.08,33.71,40.18,0.3,133.08,0,0,161.26,NA,NA
24-05-2021 00:00,61.44,170.38,12.02,14.81,17.65,0.25,10.1,4.38,33.72,40.6,0.3,134.1,0,0,161.44,NA,NA
25-05-2021 00:00,38.46,146.03,11.94,18.34,19.47,1.03,12.12,5.05,33.72,40.89,0.3,134.31,0,0,161.49,NA,NA
26-05-2021 00:00,48.18,153.93,12.11,23.23,22.09,1.67,15.88,4.94,33.65,40.88,0.3,135.98,0,0,160.81,NA,NA
27-05-2021 00:00,58.58,194.94,12,17.74,19.19,1.65,14.45,5.5,33.73,40.98,0.3,134.15,0,0,161.77,NA,NA
28-05-2021 00:00,28.75,115.98,11.97,8.19,14.1,2.24,12.01,6.3,33.63,40.95,0.3,137.21,0,0,160.62,NA,NA
29-05-2021 00:00,17.67,118.56,11.96,7.71,13.83,1.95,10.12,6.85,33.66,40.86,0.3,136.33,0,0,160.85,NA,NA
30-05-2021 00:00,22.05,147.23,12,9.13,14.62,2.36,8.42,7.9,33.69,40.21,0.3,133.23,0,0,161.31,NA,NA
31-05-2021 00:00,50.39,184.64,11.93,10.79,15.43,5.48,8.17,6.7,33.84,40.03,0.3,129.78,0,0,163.08,NA,NA
01-06-2021 00:00,29.69,88.23,12.05,11.37,15.85,2.3,9.12,10.3,33.64,40.09,0.3,132.93,0,0,160.65,NA,NA
02-06-2021 00:00,53.45,149.67,11.99,7.91,13.95,1.96,9.06,13.56,33.86,40,0.3,128.72,0,0,163.01,NA,NA
03-06-2021 00:00,51.47,163.88,12.05,8.63,13.26,1.35,9.29,18.94,33.89,40,0.3,127.92,0,0,163.59,NA,NA
04-06-2021 00:00,44.86,168.22,11.93,11.15,15.63,2.51,8.98,26.78,33.91,40,0.3,127.5,0,0,163.92,NA,NA
05-06-2021 00:00,36.41,141.92,12,9.72,14.93,0.8,8.81,31.55,33.9,40,0.3,127.66,0,0,163.75,NA,NA
06-06-2021 00:00,32.57,182.08,12.08,9.22,14.72,1.03,9.48,22.25,33.93,40,0.3,127.07,0,0,163.99,NA,NA
07-06-2021 00:00,41.4,195.16,11.99,10.68,15.43,1.82,9.81,7.86,33.94,40,0.3,126.25,0,0,164.5,NA,NA
08-06-2021 00:00,70.16,420.31,12.02,11.01,15.63,2.34,6.59,8.28,33.73,40.43,0.3,133.39,0,0,162.06,NA,NA
09-06-2021 00:00,46.96,376.09,11.96,11.04,15.6,2.3,4.11,10.45,33.38,40.95,0.3,142.26,0,0,157.99,NA,NA
10-06-2021 00:00,55.68,222.09,13.97,8.63,9.83,3.21,2.25,10.41,32.37,42.11,0.3,165,0,0,146.55,NA,NA
11-06-2021 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
12-06-2021 00:00,15.11,90.8,18.29,8.87,18.81,1.76,9.08,7.91,33.26,41.27,0.3,147.33,0,0,156.45,NA,NA
13-06-2021 00:00,32.53,93,9.64,7.51,11.84,1.69,9.03,11.99,33.77,40.79,0.3,133.22,0,0,163.34,NA,NA
14-06-2021 00:00,28.23,101.14,NA,NA,NA,NA,NA,13.17,33.63,40.8,0.3,137.89,0,0,161.38,NA,NA
15-06-2021 00:00,29.49,128.82,12.27,10.13,15.07,1.94,7.91,27.67,33.53,40.91,0.3,140.16,0,0,160.04,NA,NA
16-06-2021 00:00,31.75,85.88,11.82,10.54,15.22,1.69,8.38,17.12,33.69,41,0.3,136.36,0,0,162.23,NA,NA
17-06-2021 00:00,34.67,93.93,11.83,11.08,15.51,1.56,9.48,9.05,33.65,41.11,0.3,137.76,0,0,161.6,NA,NA
18-06-2021 00:00,22.25,56.06,11.97,11.26,15.73,1.32,9.39,7.67,33.61,41.18,0.3,138.6,0,0,161.01,NA,NA
19-06-2021 00:00,20.8,55.05,11.93,11.08,15.6,1.43,9.92,11.59,33.85,41,0.3,131.8,0,0,163.95,NA,NA
