Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2017-01-01 00:00:00,224.23,NA,7.88,10.66,18.43,NA,7.98,39.67,14.51,3.18,31.34,NA,NA,0.65,4.24,16.05,43.65,0.33,353.35,NA,0.00,20.90,901.36,0.04
2017-01-02 00:00:00,344.08,NA,7.98,10.29,18.10,NA,9.41,43.67,6.96,3.29,32.50,NA,NA,0.66,4.39,14.94,60.82,0.33,353.36,NA,0.00,20.87,921.05,0.09
2017-01-03 00:00:00,288.58,NA,9.37,10.40,18.80,NA,10.24,NA,7.54,2.92,29.24,NA,NA,0.62,3.90,15.15,58.59,0.33,353.36,NA,0.00,20.67,896.26,0.19
2017-01-04 00:00:00,327.80,NA,9.49,10.58,18.73,NA,8.14,45.94,9.10,2.57,24.86,NA,NA,0.52,3.46,17.05,38.78,0.33,353.36,NA,0.00,21.10,905.83,0.17
2017-01-05 00:00:00,258.64,NA,3.21,10.55,11.90,NA,6.01,39.36,15.28,4.34,43.39,NA,NA,0.88,5.79,17.99,30.79,0.33,353.33,NA,0.00,20.95,976.69,0.14
2017-01-06 00:00:00,220.34,NA,3.85,10.32,14.64,NA,4.51,20.84,12.92,2.83,28.35,NA,NA,0.61,3.78,18.40,12.41,0.33,353.34,NA,0.00,20.95,922.05,0.08
2017-01-07 00:00:00,190.02,NA,4.11,10.33,14.96,NA,4.95,23.14,3.92,2.55,25.32,NA,NA,0.51,3.38,14.96,70.28,0.33,353.33,NA,0.00,20.11,906.70,0.07
2017-01-08 00:00:00,180.32,NA,5.18,10.22,15.79,NA,4.22,16.07,16.80,1.51,14.96,NA,NA,0.31,2.02,15.15,21.18,0.33,353.35,NA,0.00,21.43,853.26,0.03
2017-01-09 00:00:00,176.81,NA,4.90,10.23,15.58,NA,6.24,19.73,12.19,3.24,32.40,NA,NA,0.65,4.32,13.36,36.03,0.33,353.36,NA,0.00,21.04,937.96,0.18
2017-01-10 00:00:00,191.33,NA,4.94,10.25,15.63,NA,3.49,16.07,22.98,3.45,34.46,NA,NA,0.69,4.59,11.98,8.85,0.34,353.44,NA,0.00,21.47,948.58,0.20
2017-01-11 00:00:00,230.31,NA,4.05,10.40,13.90,NA,5.84,21.18,22.88,3.97,39.69,NA,NA,0.79,5.29,10.85,0.59,0.34,353.49,NA,0.00,21.64,969.62,0.13
2017-01-12 00:00:00,289.83,NA,3.59,10.56,11.44,NA,6.18,26.28,23.83,4.30,43.05,NA,NA,0.86,5.74,11.12,0.61,0.34,353.49,NA,0.00,21.47,980.63,0.15
2017-01-13 00:00:00,379.36,NA,3.50,10.73,13.02,NA,6.97,39.26,20.42,3.62,36.26,NA,NA,0.72,4.83,11.62,0.59,0.34,353.47,NA,0.00,21.45,957.05,0.13
2017-01-14 00:00:00,417.00,NA,3.12,10.66,12.73,NA,7.73,35.76,18.07,2.64,25.53,NA,NA,0.54,3.44,12.03,0.59,0.34,353.47,NA,0.00,21.09,906.95,0.13
2017-01-15 00:00:00,250.68,NA,3.17,10.58,11.04,NA,8.94,20.59,17.92,3.35,33.17,NA,NA,0.68,4.47,15.60,0.60,0.33,353.37,NA,0.00,21.32,941.53,0.11
2017-01-16 00:00:00,220.40,NA,4.70,11.87,14.79,NA,6.14,9.64,12.47,3.70,36.98,NA,NA,0.74,4.93,13.09,0.60,0.33,353.29,NA,0.00,20.96,957.90,-0.40
2017-01-17 00:00:00,162.70,NA,5.31,10.26,15.71,NA,5.03,0.65,14.71,2.67,26.77,NA,NA,0.53,3.57,9.88,31.51,0.34,353.33,NA,0.00,21.21,916.90,-1.26
2017-01-18 00:00:00,250.07,NA,2.80,10.46,12.06,NA,7.42,0.89,12.36,3.29,32.94,NA,NA,0.66,4.39,11.42,38.85,0.34,353.36,NA,0.00,21.62,942.17,-1.29
2017-01-19 00:00:00,103.15,NA,6.68,10.13,16.90,NA,5.27,0.69,11.08,4.12,41.18,NA,NA,0.82,5.49,13.90,31.61,0.33,353.27,NA,0.00,19.60,839.58,-1.30
2017-01-20 00:00:00,136.52,NA,6.61,9.87,16.55,NA,6.44,0.72,3.82,3.48,34.79,NA,NA,0.70,4.64,8.15,NA,0.34,353.41,NA,0.00,21.25,732.58,-1.30
2017-01-21 00:00:00,235.43,NA,22.99,15.50,28.34,NA,18.96,0.62,24.84,3.82,38.20,NA,NA,0.76,5.09,16.10,40.91,0.33,353.33,NA,0.00,21.09,744.20,-1.30
2017-01-22 00:00:00,206.90,NA,11.57,9.12,18.82,NA,22.28,1.12,13.75,4.22,42.25,NA,NA,0.84,5.63,17.44,79.65,0.33,353.28,NA,0.00,20.21,811.60,-1.30
2017-01-23 00:00:00,145.20,NA,6.31,9.50,15.00,NA,10.37,1.00,14.11,4.21,42.07,NA,NA,0.84,5.61,16.49,48.46,0.33,353.29,NA,0.00,21.69,732.85,-1.30
2017-01-24 00:00:00,250.50,NA,5.57,7.59,11.03,NA,11.91,1.28,13.44,3.97,39.21,NA,NA,0.80,5.23,17.75,76.83,0.33,353.28,NA,0.00,21.43,718.58,-1.30
2017-01-25 00:00:00,232.39,NA,6.55,7.96,11.94,NA,8.58,0.97,7.25,3.71,37.11,NA,NA,0.74,4.95,17.09,73.05,0.33,353.30,NA,0.00,20.94,702.24,-0.73
2017-01-26 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2017-01-27 00:00:00,114.41,NA,7.48,9.72,17.08,NA,3.30,0.61,13.96,3.64,36.43,NA,NA,0.73,4.86,14.59,50.31,0.33,353.42,NA,0.00,19.72,710.54,-0.01
2017-01-28 00:00:00,104.74,NA,7.14,9.97,17.05,NA,4.08,0.61,16.32,2.40,24.03,NA,NA,0.48,3.20,13.66,NA,0.34,353.45,NA,0.00,21.72,NA,-0.00
2017-01-29 00:00:00,125.85,NA,6.43,9.43,15.50,NA,5.43,0.69,18.62,3.13,31.35,NA,NA,0.63,4.18,14.72,NA,0.33,353.44,NA,0.00,21.77,NA,0.10
2017-01-30 00:00:00,179.30,NA,5.66,7.85,11.59,NA,6.09,0.95,15.03,2.72,27.19,NA,NA,0.54,3.63,15.80,NA,0.33,353.44,NA,0.00,22.64,NA,0.12
2017-01-31 00:00:00,228.72,NA,3.35,6.83,10.95,NA,8.03,1.07,20.04,3.26,32.64,NA,NA,0.65,4.35,17.51,NA,0.33,353.43,NA,0.00,22.79,708.03,0.11
