Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-02,40.37,85.59,,1.43,,11.96,8.15,0.56,3.2,,,,,,,25.01,82.23,1.45,149.92,,0.0,,1003.56,
2024-01-03,51.56,109.92,,,,,12.69,8.25,3.01,,,,,,,,,,,,0.0,,,
2024-01-04,36.41,76.7,,2.41,,15.9,12.22,,3.22,,,,,,,30.01,48.03,1.11,138.79,,0.0,,1003.33,
2024-01-05,30.51,64.08,,1.39,,,13.67,4.95,3.19,,,,,,,23.23,95.04,1.15,280.27,,0.0,,1000.69,
2024-01-06,20.3,41.96,,,,,14.47,4.42,3.27,,,,,,,,,,,,0.0,,,
2024-01-07,18.03,37.02,,,,,14.56,,3.25,,,,,,,,,,,,0.0,,,
2024-01-08,8.55,16.42,,,,,9.96,1.95,,,,,,,,,,,,,0.0,,,
2024-01-09,30.65,64.45,,4.61,,16.1,8.95,1.36,3.88,,,,,,,28.99,69.61,1.28,131.22,,0.0,,998.38,
2024-01-10,32.21,67.86,,2.19,,17.01,11.32,1.92,3.1,,,,,,,29.16,59.46,1.13,124.03,,0.0,,1003.18,
2024-01-11,34.54,72.9,,1.27,,16.98,12.05,3.4,3.08,,,,,,,30.37,58.14,1.28,137.45,,0.0,,1004.02,
2024-01-12,45.15,95.96,,2.64,,17.04,11.23,5.82,3.22,,,,,,,26.33,79.96,1.25,197.93,,0.0,,1003.74,
2024-01-13,54.71,117.59,,,,,14.38,0.02,3.08,,,,,,,,,,,,0.0,,,
2024-01-14,73.28,156.7,,,,3.46,13.82,0.34,3.24,,,,,,,26.99,79.22,1.63,134.01,,0.0,,1001.97,
2024-01-15,,,,,,,9.42,,3.22,,,,,,,,,,,,0.0,,,
2024-01-16,,,,,,,12.42,,3.23,,,,,,,,,,,,0.0,,,
2024-01-17,,,,,,,13.2,,3.2,,,,,,,,,,,,0.0,,,
2024-01-18,17.69,36.29,,,,,9.92,0.04,3.18,,,,,,,,,,,,0.0,,,
