date, pm25, o3, no2, so2, co
01-10-2021,142,15,8,2,5
02-10-2021,122,17,11,2,4
03-10-2021,98,16,15,2,5
04-10-2021,110,17,14,2,5
05-10-2021,130,18,7,2,4
06-10-2021,116,24,9,3,5
07-10-2021,156,24,22,3,8
08-10-2021,166,23,18,4,9
09-10-2021,145,20,28,3,12
10-10-2021,164,14,31,5,16
11-10-2021,158,19,28,6,17
12-10-2021,157,30,15,10,11
13-10-2021,161,45,17,1,4
14-10-2021,160,43,35,2,14
15-10-2021,169,70,40,2,15
16-10-2021,199,32,37,3,13
17-10-2021,189,88,16,2,8
18-10-2021,66,50,9,2,3
19-10-2021,85, ,19,1,6
20-10-2021,167,25,27,3,18
21-10-2021,77,18,32,2,21
22-10-2021,81,21,28,1,19
23-10-2021,89,29,20,1,19
24-10-2021,83,22,14,1,18
25-10-2021,72,11,24,2,20
26-10-2021,65,13,25,2,19
27-10-2021,70,24,24,4,19
28-10-2021,124,47,33,2,21
29-10-2021,190,28,25,2,10
30-10-2021,188,42,27,4,12
31-10-2021,187,31,29,3,9
01-11-2021,190,32,30,3,9
02-11-2021,190,33,30,4,10
03-11-2021,194,37,20,4,13
04-11-2021,365,25,16,4,12
05-11-2021,439,31,20,4,10
06-11-2021,363,32,23,4,11
07-11-2021,284,33,27,4,13
08-11-2021,271,35,24,5,11
09-11-2021,253,26,28,5,12
10-11-2021,238,5,36,12,28
11-11-2021,318,12,32,7,22
12-11-2021,407,34,30,11,15
13-11-2021,296,29,32,12,13
14-11-2021,204,34,30,11,15
15-11-2021,243,25,29,14,13
16-11-2021,244,33,40,13,15
17-11-2021,212,31,51,13,19
18-11-2021,249,33,41,9,13
19-11-2021,250,36,45,12,14
20-11-2021,255,35,28,7,9
21-11-2021,246,32,15,8,11
22-11-2021,195,39,28,2,7
23-11-2021,181,21,46,4,11
24-11-2021,201,32,45,7,16
25-11-2021,244,26,64,6,23
26-11-2021,286,21,40,6,16
27-11-2021,275,30,31,3,15
28-11-2021,247,27,29,2,11
29-11-2021,249,40,21,1,8
30-11-2021,197,21,37,2,13
01-12-2021,226,13,26,2,10
02-12-2021,258,16,22,1,10
03-12-2021,194,28,20,3,13
04-12-2021,235,18,4,3,13
05-12-2021,203,19,25,1,11
06-12-2021,191,13,17,1,7
07-12-2021,165,24,23,6,11
08-12-2021,160,53,36,5,11
09-12-2021,181,44,27,4,8
10-12-2021,180,24,34,6,19
11-12-2021,168,27,39,6,24
12-12-2021,190,56,38,7,30
13-12-2021,221,42,35,6,28
14-12-2021,248,28,33,5,26
15-12-2021,251,22,37,4,22
16-12-2021,253,23,17,4,16
17-12-2021,200,39,14,4,16
18-12-2021,184,16,16,4,15
19-12-2021,172,102,27,11,19
20-12-2021,204,14,43,13,27
21-12-2021,338,9,47,11,30
22-12-2021,344,24,38,5,15
23-12-2021,235,3,24,3,13
24-12-2021,207,14,44,10,20
25-12-2021,294,33,27,4,16
26-12-2021,242,19,29,7,17
27-12-2021,191,8,30,5,14
28-12-2021,195,9,20,9,11
29-12-2021,189,28,26,6,12
30-12-2021,220,16,29,7,15
31-12-2021,244,37,26,7,15
01-01-2022,271,16,23,7,13
02-01-2022,281,20,25,3,11
01-07-2021,134,17,7,3,3
02-07-2021,143,15,7,3,3
03-07-2021,112,30,12,3,3
04-07-2021,128,27,7,3,3
05-07-2021,126,27,5,3,2
06-07-2021,118,25,4,3,3
07-07-2021,129,24,9,3,5
08-07-2021,144,24,6,3,4
09-07-2021,134,24,4,3,4
10-07-2021,103,24,3,3,3
11-07-2021,116,24,4,3,5
12-07-2021,104,9,11,5,9
13-07-2021,101,21,13,3,5
14-07-2021,104,23,13,2,8
15-07-2021,116,12,9,3,5
16-07-2021,117,16,6,3,4
17-07-2021,139,15,7,2,4
18-07-2021,115,24,10,3,8
19-07-2021,70,24,7,3,7
20-07-2021,75,24,7,3,7
21-07-2021,97,22,6,7,14
22-07-2021,94,23,7,3,10
23-07-2021,119,5,8,3,8
24-07-2021,131,6,5,3,7
25-07-2021,112,7,7,3,7
26-07-2021,134,10,5,3,5
27-07-2021,127,10,5,3,6
28-07-2021,218,10,6,3,7
29-07-2021,82,11,7,3,10
30-07-2021,102,12,6,3,10
31-07-2021,91,9,9,3,10
01-08-2021,110,13,10,3,10
02-08-2021,119,13,8,2,11
03-08-2021,109,12,8,4,12
04-08-2021,91,22,11,8,9
05-08-2021,128,12,11,2,8
06-08-2021,132,1,10,2,8
07-08-2021,126,8,6,1,7
08-08-2021,127,4,9,1,6
09-08-2021,111,2,7,3,4
10-08-2021,120,2,6,3,4
11-08-2021,94,3,6,2,6
12-08-2021,103,12,10,2,7
13-08-2021,111,18,7,3,4
14-08-2021,115,25,5,2,3
15-08-2021,111,26,6,3,4
16-08-2021,117,31,9,2,5
17-08-2021,139,42,13,4,6
18-08-2021,157,181,19,3,9
