Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2021 00:00,252.92,334.37,80.28,73.49,21.54,161.44,1.71,2.63,19.22,10.73,77.46,0.4,230.52,0,0,28.92,NA,NA
02-01-2021 00:00,164.21,217.25,4.38,14.05,23.72,74.97,1.27,1.28,29.68,13.8,66.5,0.39,191.32,0.04,3.5,31.02,NA,NA
03-01-2021 00:00,97.29,142.61,7.94,11.46,15.27,62.42,1.34,1,4.95,14.11,93.14,0.42,202.4,0.68,64.5,22.85,NA,NA
04-01-2021 00:00,51.5,95.6,8.75,8.9,9.7,44.61,2.24,0.66,7.34,16.12,96.67,0.54,245.77,0.25,24,39.02,NA,NA
05-01-2021 00:00,50.22,74.24,6.56,3.18,3.09,3.6,1.49,0.69,13.61,17.55,92.6,0.45,175.25,0.01,0.5,39.41,NA,NA
06-01-2021 00:00,107.79,132.34,7.75,3.53,2.86,3.74,1.79,1.08,11.78,16.44,99.09,0.58,267.52,0.19,18,26.04,NA,NA
07-01-2021 00:00,75.25,107.43,7.09,3.05,2.97,3.06,1.2,0.64,17.55,15.45,93.57,0.85,298.53,0.01,0.5,43.87,NA,NA
08-01-2021 00:00,87.35,147.57,4.32,3.51,4.68,6.02,1.49,0.87,9.45,12.92,98.53,0.72,280.7,0,0,33.13,NA,NA
09-01-2021 00:00,92.42,148.48,5.19,7.01,16.29,12.25,1.31,0.81,14.45,14.2,96.95,1.06,302.71,0,0,43.84,NA,NA
10-01-2021 00:00,91.84,143.14,14.67,11.68,37.54,25.56,1,0.65,23.13,10.48,93.32,1.22,295.41,0,0,34.71,NA,NA
11-01-2021 00:00,75.97,123.91,14.81,11.78,37.52,25.68,0.95,0.68,23.61,10.65,93.24,1.06,272.82,0,0,38.21,NA,NA
12-01-2021 00:00,121.41,190.3,15.2,12.24,37.8,26.25,1.26,1.15,17.62,10.64,86.17,0.76,284.66,0,0,49.41,NA,NA
13-01-2021 00:00,205.68,286.88,15.31,12.32,37.78,26.44,1.84,2.11,11.56,10.25,90.98,0.66,269.37,0,0,26.73,NA,NA
14-01-2021 00:00,224.72,309.94,14.65,11.71,26.82,25.46,1.79,2.45,17.53,11.48,87.69,0.53,179.4,0,0,42.29,NA,NA
15-01-2021 00:00,334.11,422.11,18.69,13.95,32,26.49,5.5,1.81,32.2,15.43,79.95,0.42,215.88,0,0,32.8,NA,NA
16-01-2021 00:00,194.56,264.43,19.79,14.79,39.57,27.69,1.75,2.48,11.74,10.63,92.87,0.76,283.02,0,0,27.88,NA,NA
17-01-2021 00:00,193.51,219.58,19.69,14.69,39.52,27.57,1.57,1.52,14.43,8.93,97.87,0.68,121.79,0,0,46.41,NA,NA
18-01-2021 00:00,211.08,283.33,19.98,14.98,39.63,27.97,4.74,1.42,20.34,11.42,90.3,0.47,165.28,0,0,40.9,NA,NA
19-01-2021 00:00,238.36,423.43,20.8,15.8,39.94,29.1,5.21,2.67,7.75,NA,99.13,0.76,280.51,0,0,36,NA,NA
20-01-2021 00:00,83.52,148.91,20.97,15.96,40,29.32,3.86,0.91,19.73,NA,92.77,0.87,264.61,0,0,33.17,NA,NA
21-01-2021 00:00,146.15,244.01,23.99,19,41.18,33.53,4.36,1.31,28.45,16.28,78.05,0.7,262.63,0,0,44.73,NA,NA
22-01-2021 00:00,215.75,300.52,39.16,34.37,44.14,57.63,4.57,1.28,11.76,11.55,94.65,0.75,124.68,0,0,43.67,NA,NA
23-01-2021 00:00,128.74,201.49,49.05,43.06,48.03,76.51,4.11,0.46,27.83,11.9,91.47,0.65,142.79,0,0,37.96,NA,NA
