Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,218.89,NA,109.75,60.17,111.37,NA,17.44,1.69,56.62,4.01,2.99,2.01,NA,2.01,2.98,NA,85.01,0.72,213.54,0.00,0.20,81.36,721.36,-0.07
2022-01-02 00:00:00,244.20,NA,90.37,55.97,93.60,NA,17.40,1.61,33.64,4.02,2.98,2.01,NA,2.00,2.99,NA,86.50,0.74,225.88,0.00,0.00,87.23,719.95,-0.07
2022-01-03 00:00:00,210.83,NA,79.00,58.39,85.77,NA,8.65,1.33,26.46,4.00,2.99,2.03,NA,2.00,3.01,NA,81.31,0.78,228.89,0.00,0.00,98.17,718.87,-0.06
2022-01-04 00:00:00,189.61,NA,165.98,90.44,168.92,NA,16.33,2.40,23.88,4.00,3.00,2.02,NA,2.03,3.03,NA,68.34,0.55,193.38,0.00,0.00,69.85,719.78,-0.08
2022-01-05 00:00:00,194.91,NA,159.01,77.68,161.42,NA,15.01,2.10,54.51,3.99,2.99,1.98,NA,2.00,3.03,NA,92.80,0.97,158.24,0.07,4.80,51.65,722.69,-0.02
2022-01-06 00:00:00,84.72,NA,17.94,38.00,24.96,NA,10.77,1.31,25.59,4.01,2.98,1.99,NA,1.99,3.00,NA,93.07,1.24,103.54,0.00,0.20,65.35,722.52,0.05
2022-01-07 00:00:00,68.96,NA,14.68,23.33,15.27,NA,8.47,0.91,23.97,3.98,2.96,1.99,NA,2.00,3.01,NA,93.66,0.89,80.65,0.00,0.00,100.73,725.19,0.06
2022-01-08 00:00:00,50.49,NA,11.02,20.22,10.84,NA,10.17,0.75,26.97,3.99,3.00,2.00,NA,2.02,3.01,NA,93.91,1.85,94.06,0.04,1.40,27.42,728.50,0.15
2022-01-09 00:00:00,35.18,NA,13.15,14.38,9.79,NA,12.60,0.89,29.50,4.01,3.00,2.01,NA,2.01,2.98,NA,93.92,0.95,276.41,0.02,1.60,37.77,733.11,-0.02
2022-01-10 00:00:00,53.96,NA,10.86,5.28,3.50,NA,12.52,0.81,31.75,4.00,3.05,2.01,NA,2.00,2.98,NA,95.01,0.78,273.19,0.00,0.00,133.56,732.35,-0.02
2022-01-11 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-12 00:00:00,68.39,NA,10.05,0.45,0.28,NA,8.43,0.91,16.94,4.01,3.04,2.01,NA,2.02,3.03,NA,87.79,0.74,276.59,0.00,0.00,164.75,721.25,-0.01
2022-01-13 00:00:00,204.73,NA,11.85,1.16,2.02,NA,16.21,2.19,19.80,4.00,3.00,2.01,NA,2.02,2.99,NA,95.87,0.72,211.04,0.00,0.00,95.84,738.68,-0.07
2022-01-14 00:00:00,207.82,NA,59.65,51.86,46.65,NA,12.46,1.73,18.83,4.01,2.97,2.01,NA,1.99,3.05,NA,94.24,0.74,222.96,0.00,0.20,61.20,728.57,-0.06
2022-01-15 00:00:00,99.13,NA,103.71,209.61,85.98,NA,9.35,0.71,19.10,3.99,2.98,2.00,NA,2.00,3.00,NA,93.21,0.75,263.39,0.00,0.00,66.12,728.09,-0.02
2022-01-16 00:00:00,194.78,NA,9.99,0.01,0.00,NA,22.43,1.72,18.69,4.01,3.05,2.01,NA,1.98,3.05,NA,93.60,0.63,215.01,0.00,0.00,46.94,723.27,-0.08
2022-01-17 00:00:00,119.99,NA,9.63,25.83,5.52,NA,8.89,1.10,22.41,3.92,3.09,2.02,NA,2.05,3.01,NA,92.36,0.71,229.46,0.00,0.00,83.92,722.54,-0.05
2022-01-18 00:00:00,135.20,NA,9.31,25.21,9.40,NA,6.01,0.80,15.23,3.99,3.01,2.01,NA,2.00,3.00,NA,93.49,1.09,292.96,0.00,0.00,132.54,720.47,0.03
2022-01-19 00:00:00,208.48,NA,9.60,25.65,9.99,NA,12.20,1.63,22.68,4.00,3.03,1.99,NA,2.05,2.98,NA,94.67,0.67,218.50,0.00,0.00,89.11,725.01,-0.05
2022-01-20 00:00:00,168.59,NA,9.58,25.53,9.86,NA,3.94,1.13,18.09,4.01,3.01,2.00,NA,2.01,3.03,NA,92.19,0.85,125.49,0.00,0.00,83.58,724.87,-0.00
2022-01-21 00:00:00,148.01,NA,9.55,25.59,9.99,NA,6.19,1.18,15.78,4.01,3.00,2.01,NA,2.02,3.01,NA,90.93,0.51,186.34,0.00,0.00,68.64,722.90,-0.05
2022-01-22 00:00:00,110.63,NA,9.55,25.57,9.84,NA,4.61,0.73,23.17,3.98,3.01,2.00,NA,2.00,3.02,NA,93.08,1.83,88.17,0.27,22.20,54.83,725.81,0.16
2022-01-23 00:00:00,75.06,NA,9.61,25.62,9.88,NA,5.48,0.64,19.91,4.01,3.01,1.99,NA,2.01,2.98,NA,94.17,0.99,206.39,0.10,7.80,73.92,727.66,-0.00
2022-01-24 00:00:00,60.16,NA,9.62,25.59,9.86,NA,5.57,0.75,28.16,3.99,3.00,1.98,NA,2.01,2.98,NA,92.38,0.74,226.52,0.00,0.00,86.14,723.97,-0.06
2022-01-25 00:00:00,108.41,NA,9.38,25.27,9.84,NA,7.84,1.09,65.38,3.99,3.01,2.01,NA,2.00,3.03,NA,94.35,0.81,246.71,0.00,0.00,50.75,722.76,-0.05
2022-01-26 00:00:00,103.23,NA,9.60,25.59,9.93,NA,NA,0.83,83.68,3.99,3.02,1.99,NA,1.99,2.99,NA,93.64,0.84,236.97,0.00,0.00,102.48,723.29,-0.04
2022-01-27 00:00:00,80.67,NA,9.60,25.54,9.86,NA,18.72,0.62,47.20,4.01,2.99,2.01,NA,2.00,3.01,NA,83.98,1.03,245.26,0.00,0.20,119.40,726.55,-0.00
2022-01-28 00:00:00,80.78,NA,9.54,31.77,16.06,NA,14.68,1.47,45.99,4.86,6.85,3.09,NA,4.20,5.34,NA,70.25,1.19,253.23,0.00,0.00,130.41,719.81,0.01
2022-01-29 00:00:00,141.53,NA,9.58,35.51,19.79,NA,16.55,2.38,44.04,5.41,9.44,3.79,NA,5.40,6.82,NA,77.46,0.79,218.73,0.00,0.00,91.18,719.29,-0.06
2022-01-30 00:00:00,117.95,NA,9.71,35.44,19.75,NA,5.93,1.49,46.45,5.40,9.40,3.81,NA,5.43,6.77,NA,91.94,0.86,256.68,0.00,0.00,121.78,716.99,-0.05
2022-01-31 00:00:00,154.33,NA,9.56,35.59,19.98,NA,8.01,8.00,29.89,5.44,9.42,3.83,NA,5.41,6.70,NA,81.80,1.35,103.19,0.00,0.00,112.04,722.33,0.06
2022-02-01 00:00:00,132.78,NA,9.62,35.53,19.74,NA,10.62,8.01,20.75,5.39,9.38,3.83,NA,5.37,6.80,NA,94.24,0.81,251.80,0.00,0.20,101.26,722.31,-0.05
2022-02-02 00:00:00,130.92,NA,9.55,35.52,19.92,NA,10.70,7.86,59.87,5.39,9.42,3.84,NA,5.42,6.83,NA,71.08,1.55,146.49,0.00,0.00,124.41,724.01,0.10
2022-02-03 00:00:00,141.01,NA,9.60,35.47,19.74,NA,9.05,4.83,53.40,5.39,9.42,3.81,NA,5.42,6.83,NA,93.78,2.15,137.10,0.01,1.00,58.68,721.84,0.21
