Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,437.65,580.99,131.05,105.96,185.42,109.50,11.99,3.95,31.79,2.37,16.78,7.34,NA,NA,NA,12.04,90.11,0.40,155.73,0.00,0.00,28.53,746.22,NA
2018-01-02 00:00:00,373.55,590.23,22.30,109.25,80.48,90.38,8.99,2.08,34.11,2.07,11.38,3.17,NA,NA,NA,11.03,88.13,0.67,178.08,0.00,0.00,30.20,746.89,NA
2018-01-03 00:00:00,295.10,462.29,45.09,105.01,95.85,76.62,9.27,2.22,32.00,1.56,9.92,3.41,NA,NA,NA,11.85,82.09,0.82,104.48,0.00,0.00,41.65,747.36,NA
2018-01-04 00:00:00,278.88,393.15,34.79,83.89,77.17,76.08,8.24,2.19,35.28,1.53,7.70,2.81,NA,NA,NA,10.54,87.42,0.57,202.18,0.00,0.00,41.40,747.47,NA
2018-01-05 00:00:00,252.60,354.73,18.63,64.41,54.12,68.59,8.47,1.57,30.62,1.35,6.28,1.52,NA,NA,NA,10.26,85.20,0.48,274.63,0.00,0.00,39.93,747.13,NA
2018-01-06 00:00:00,258.86,355.98,49.13,91.32,89.31,68.95,11.57,2.49,39.75,1.82,13.09,4.66,NA,NA,NA,11.58,75.95,0.60,185.75,0.00,0.00,42.66,745.87,NA
2018-01-07 00:00:00,239.17,373.33,40.55,96.58,87.42,69.31,13.67,1.88,38.39,1.25,7.84,3.21,NA,NA,NA,13.18,69.32,1.13,67.89,0.00,0.00,48.77,746.76,NA
2018-01-08 00:00:00,222.53,402.24,76.63,111.47,123.83,64.18,16.09,2.40,38.02,1.38,8.36,3.89,NA,NA,NA,14.08,61.18,0.88,114.45,0.00,0.00,51.18,748.67,NA
2018-01-09 00:00:00,287.41,464.14,91.25,114.73,137.43,73.51,23.63,2.32,43.59,1.67,9.77,4.73,NA,NA,NA,14.46,63.87,0.87,90.83,0.00,0.00,55.43,750.54,NA
2018-01-10 00:00:00,228.72,361.38,18.28,106.82,68.35,57.79,27.97,1.57,24.11,0.95,7.28,3.31,NA,NA,NA,18.45,47.28,1.61,75.74,0.00,0.00,60.72,749.65,NA
